Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - afterDate = CustomKeywords.extension.DataConversion.GetStringSpilt(after, "" "", 1)",Chrome 67.0.3396.99,,2018-07-06 14:25:42,2018-07-06 14:25:42,0.000s,PASSED
Statement - afterText = CustomKeywords.extension.DataConversion.yearmonthdate(afterDate),Chrome 67.0.3396.99,\u8F49\u63DB\u4E0A\u500B\u67081\u865F\u70BA\u6578\u503C,2018-07-06 14:25:42,2018-07-06 14:25:42,0.000s,PASSED
verifyGreaterThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7B2C\u4E00\u7B46\u8CC7\u6599\u7684\u7533\u8ACB\u65E5\u671F\u662F\u5426\u5927\u65BC\u9078\u64C7\u7684\u4E0A\u500B\u67081\u865F,2018-07-06 14:25:42,2018-07-06 14:25:42,0.005s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:42,2018-07-06 14:25:43,0.754s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin05,Chrome 67.0.3396.99,,2018-07-06 14:25:43,2018-07-06 14:25:59,16.381s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:43,2018-07-06 14:25:49,5.806s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:25:49,2018-07-06 14:25:52,3.753s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:25:52,2018-07-06 14:25:53,0.250s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:53,2018-07-06 14:25:54,0.844s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:25:54,2018-07-06 14:25:54,0.041s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:54,2018-07-06 14:25:56,2.000s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u8D77\u59CB\u91D1\u984D,2018-07-06 14:25:56,2018-07-06 14:25:56,0.172s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u7D50\u675F\u91D1\u984D,2018-07-06 14:25:56,2018-07-06 14:25:56,0.166s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:56,2018-07-06 14:25:56,0.158s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:56,2018-07-06 14:25:58,2.001s,PASSED
Statement - after = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ThirdPartyPayment/Index_Page/text_Amount)),Chrome 67.0.3396.99,,2018-07-06 14:25:58,2018-07-06 14:25:59,0.395s,PASSED
Statement - afterText = CustomKeywords.extension.DataConversion.CurrencyToInt(after),Chrome 67.0.3396.99,\u8F49\u63DB\u67E5\u8A62\u7D50\u679C\u7B2C\u4E00\u7B46\u9918\u984D\u6263\u9664$\u5B57\u5143,2018-07-06 14:25:59,2018-07-06 14:25:59,0.004s,PASSED
verifyGreaterThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7D50\u679C\u662F\u5426\u5927\u65BC\u8F38\u5165\u76841,2018-07-06 14:25:59,2018-07-06 14:25:59,0.001s,PASSED
verifyLessThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7D50\u679C\u662F\u5426\u5C0F\u65BC\u8F38\u5165\u76843,2018-07-06 14:25:59,2018-07-06 14:25:59,0.008s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:59,2018-07-06 14:25:59,0.657s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin06,Chrome 67.0.3396.99,,2018-07-06 14:25:59,2018-07-06 14:26:11,12.086s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:59,2018-07-06 14:26:04,4.942s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:26:04,2018-07-06 14:26:08,3.548s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:26:08,2018-07-06 14:26:08,0.236s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:26:08,2018-07-06 14:26:09,0.716s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_ThirdPartyAccount)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u5546\u6236\u300D,2018-07-06 14:26:09,2018-07-06 14:26:10,0.859s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:26:10,2018-07-06 14:26:10,0.063s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u5546\u6236,2018-07-06 14:26:10,2018-07-06 14:26:10,0.188s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:26:10,2018-07-06 14:26:10,0.124s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:26:10,2018-07-06 14:26:10,0.048s,PASSED
